K,Total_Latency(ms),Avg_Latency_Per_Tx(ms),Gas_Used,Gas_Per_Tx
200,6095.00,30.4750,319520,1598
220,6487.00,29.4864,345090,1569
240,6958.00,28.9917,370510,1544
260,7476.00,28.7538,395990,1523
280,8027.00,28.6679,421230,1504
300,8626.00,28.7533,447220,1491
320,9225.00,28.8281,472880,1478
340,9861.00,29.0029,498180,1465
360,10588.00,29.4111,523810,1455
380,11328.00,29.8105,549440,1446
400,12091.00,30.2275,574980,1437
