批量数量(c),Bulletproofs(ms),Ma-NIZK(ms),性能倍率
5,320.16,2483.80,7.76
10,385.78,5052.08,13.09
15,369.48,7384.96,19.99
20,404.88,9911.49,24.48
25,438.58,12562.35,28.64
30,355.06,14684.78,41.36
35,468.47,17632.51,37.64
40,433.13,20027.02,46.24
45,435.20,22300.17,51.24
50,459.77,25127.14,54.65
