挑战块数量(c),本文方案(ms),EBBA(ms),DPD(ms)
10,975.08,2355.23,1963.95
20,1872.62,4687.15,3853.23
30,2969.76,7310.48,5473.92
40,3849.63,9154.79,7445.62
50,4565.93,12340.66,9602.78
60,5841.99,9033.77,11464.95
70,5860.63,16244.15,13350.34
80,8730.42,20114.35,15133.15
90,8119.86,21222.33,17777.10
100,9294.14,18590.43,17002.77
