并发数(N),Schnorr(ms),ECDSA(ms)
100,240.76,829.61
200,472.74,1678.22
300,703.93,2499.08
400,1332.43,4975.13
500,1634.87,6077.92
600,3217.59,11424.66
700,3794.56,13252.77
800,2901.35,10703.79
900,4214.38,16649.76
1000,3952.79,15363.15
